species_id,family,genus,species,genus_species_subspecies,genus_species,woodspecificgrav,seedmass,height,leafmass,relativegrowthratesaplings,relativegrowthratelarge,robin,lifeform,breeding,repr_no95,bsl_repr95,bas95,stno
sennda,Fabaceae-caesalpinioideae,Senna,dariensis,Senna dariensis dariensis,Senna dariensis,NA,NA,NA,NA,NA,NA,10,shrub,bisex,72,0.082308,0.082387,76
aphesi,Acanthaceae,Aphelandra,sinclairiana,Aphelandra sinclairiana,Aphelandra sinclairiana,NA,NA,NA,NA,NA,NA,20,shrub,bisex,4,0.004038,0.004666,8
micoim,Melastomataceae,Miconia,impetiolaris,Miconia impetiolaris,Miconia impetiolaris,NA,NA,NA,NA,NA,NA,20,shrub,bisex,7,0.013046,0.014256,15
mourmy,Melastomataceae,Mouriri,myrtilloides,Mouriri myrtilloides parvifolia,Mouriri myrtilloides,0.788,0.042875,8.6,76.2,0.024,NA,20,shrub,bisex,2275,1.581002,2.389538,7587
pentma,Rubiaceae,Pentagonia,macrophylla,Pentagonia macrophylla,Pentagonia macrophylla,0.454,0.004479,6.1,65.2,0.019,NA,20,shrub,bisex,240,0.245624,0.27254,435
pipecu,Piperaceae,Piper,colonense,Piper colonense,Piper colonense,NA,NA,NA,NA,NA,NA,20,shrub,bisex,26,0.057376,0.058283,38
rinosy,Violaceae,Rinorea,sylvatica,Rinorea sylvatica,Rinorea sylvatica,0.673,NA,7,49.3,0.02,NA,20,shrub,bisex,1055,0.844041,1.090405,2669
cyphha,Solanaceae,Solanum,circinatum,Solanum circinatum,Solanum circinatum,NA,NA,NA,NA,NA,NA,20,shrub,bisex,0,0,0.000133,1
thevah,Apocynaceae,Thevetia,ahouai,Thevetia ahouai,Thevetia ahouai,NA,NA,NA,NA,NA,NA,20,shrub,bisex,63,0.155093,0.15872,97
vismba,Clusiaceae,Vismia,baccifera,Vismia baccifera,Vismia baccifera,NA,NA,NA,NA,NA,NA,20,shrub,bisex,51,0.102736,0.106075,75
