"","censusyear","simulation_nr","SVt","BBt","Dt","Mt","D_species_richness","D_simpson","H_simpson"
"41",1990,2,1,1,1,16,270,0.81248315130901,5.33285412474005
"42",1990,2,1,1,1,32,306,0.813815347666212,5.37101198979185
"43",1990,3,1,1,1,1,249,0.813854179282419,5.37213242900141
"44",1990,3,1,1,1,2,255,0.812917336906641,5.34523073097892
"45",1990,3,1,1,1,4,257,0.814330792553971,5.38592270498426
"46",1990,3,1,1,1,8,265,0.812829694073646,5.34272781705806
"47",1990,3,1,1,1,16,278,0.812920184130598,5.34531208165229
"48",1990,3,1,1,1,32,301,0.813354405773651,5.3577476829551
"49",1990,4,1,1,1,1,250,0.812884068263975,5.34428036523771
"50",1990,4,1,1,1,2,248,0.814405453557614,5.38808935482612
"51",1990,4,1,1,1,4,252,0.812690255206755,5.33875053379532
"52",1990,4,1,1,1,8,265,0.813732940706109,5.36863578450662
"53",1990,4,1,1,1,16,277,0.813638613333786,5.36591843347393
"54",1990,4,1,1,1,32,311,0.813548881724741,5.36333602742835
"55",1990,5,1,1,1,1,251,0.814112369230455,5.37959409058127
"56",1990,5,1,1,1,2,254,0.815314326472861,5.41460515535361
"57",1990,5,1,1,1,4,255,0.813589955761793,5.36451779777562
"58",1990,5,1,1,1,8,260,0.813174506107545,5.35258855290726
"59",1990,5,1,1,1,16,268,0.813121472823462,5.35106956967471
"60",1990,5,1,1,1,32,318,0.815116174431097,5.40880197022597
"61",1995,1,1,1,1,1,245,0.817531037937137,5.48038410858878
"62",1995,1,1,1,1,2,248,0.816589650718036,5.45225503312607
"63",1995,1,1,1,1,4,253,0.815791576700192,5.42863340387236
"64",1995,1,1,1,1,8,267,0.817165044175594,5.46941363313696
"65",1995,1,1,1,1,16,289,0.816035530093381,5.43583225884653
"66",1995,1,1,1,1,32,323,0.813486907410695,5.36155390550497
"67",1995,2,1,1,1,1,250,0.816567625443788,5.45160036454499
"68",1995,2,1,1,1,2,250,0.815587481434002,5.42262536066453
"69",1995,2,1,1,1,4,250,0.814607409394489,5.39395882399561
"70",1995,2,1,1,1,8,264,0.815930851694691,5.4327409520108
"71",1995,2,1,1,1,16,274,0.81418391213207,5.38166534165091
"72",1995,2,1,1,1,32,303,0.816278200173326,5.44301221163419
"73",1995,3,1,1,1,1,248,0.815751700022915,5.42745849011563
"74",1995,3,1,1,1,2,250,0.815974339148324,5.43402477334939
"75",1995,3,1,1,1,4,255,0.816167968056639,5.43974839111882
"76",1995,3,1,1,1,8,263,0.81621663016383,5.44118872611505
"77",1995,3,1,1,1,16,282,0.816676124817463,5.4548268685914
"78",1995,3,1,1,1,32,309,0.815550136047501,5.4215274469247
"79",1995,4,1,1,1,1,246,0.816009190535487,5.43505408183376
"80",1995,4,1,1,1,2,248,0.816834719308245,5.45954995522804
