"","treatment_label","censusyear","simulation_nr","D_species_richness","D_simpson","H_simpson"
"36","selection",2015,36,261,0.845988799692165,6.49303425985395
"37","selection",2015,37,271,0.846222414396242,6.50289829999491
"38","selection",2015,38,268,0.847717346162761,6.56673609765698
"39","selection",2015,39,267,0.85020321333987,6.67571062301137
"40","selection",2015,40,262,0.849675742957087,6.6522863287096
"41","selection",2015,41,264,0.846622370137585,6.51985560669464
"42","selection",2015,42,257,0.846862336631309,6.53007221086051
"43","selection",2015,43,260,0.849005757146846,6.62276906128483
"44","selection",2015,44,269,0.848178786290704,6.58669480745148
"45","selection",2015,45,258,0.851505257863682,6.73424516998725
"46","selection",2015,46,260,0.84749918171686,6.55734186385385
"47","selection",2015,47,263,0.849747734451405,6.65547368852535
"48","selection",2015,48,257,0.847099678865245,6.540208631208
"49","selection",2015,49,264,0.848450430875725,6.59850110942888
"50","selection",2015,50,273,0.850329722417061,6.6813532796841
"51","selection",2015,51,262,0.848363060089924,6.59469915835167
"52","selection",2015,52,262,0.848972596096497,6.62131490149258
"53","selection",2015,53,263,0.847221797184923,6.54543633564272
"54","selection",2015,54,265,0.852618792630414,6.78512557908628
"55","selection",2015,55,266,0.848262395169594,6.5903241396072
"56","selection",2015,56,264,0.847105815792714,6.54047114469868
"57","selection",2015,57,261,0.848240853809827,6.58938868005276
"58","selection",2015,58,259,0.847481716360606,6.55659096167345
"59","selection",2015,59,267,0.84745220288526,6.55532245574051
"60","selection",2015,60,261,0.848371241159598,6.59505497273482
"61","selection",2015,61,261,0.850124702907635,6.67221362959982
"62","selection",2015,62,258,0.847015471921492,6.53660871828048
"63","selection",2015,63,260,0.847979860412974,6.57807579125093
"64","selection",2015,64,266,0.848542982201045,6.60253327665151
"65","selection",2015,65,257,0.847836029054305,6.57185793578485
"66","selection",2015,66,267,0.849973054668027,6.66546931144431
"67","selection",2015,67,264,0.848877896403743,6.61716569716124
"68","selection",2015,68,262,0.850194098760887,6.67530445548903
"69","selection",2015,69,262,0.849954793284718,6.66465808466345
"70","selection",2015,70,267,0.847748118359403,6.56806332522434
"71","selection",2015,71,259,0.845502728808257,6.47260622978205
"72","selection",2015,72,261,0.848931443760479,6.61951120003087
"73","selection",2015,73,259,0.847014869481092,6.53658297775813
"74","selection",2015,74,274,0.847553814546028,6.55969184812388
"75","selection",2015,75,264,0.850595086038335,6.69322027959926
"76","selection",2015,76,256,0.847702689272032,6.56610412370439
"77","selection",2015,77,271,0.849606765099987,6.64923525758878
"78","selection",2015,78,260,0.848571494149661,6.60377644476218
"79","selection",2015,79,263,0.847519590952692,6.55821955258358
"80","selection",2015,80,254,0.847841053291477,6.57207493632043
"81","selection",2015,81,264,0.848711656065522,6.60989454966268
"82","selection",2015,82,266,0.847518137450953,6.55815703771549
"83","selection",2015,83,269,0.852140089772413,6.76315844139762
"84","selection",2015,84,270,0.847978656586456,6.57802370078852
"85","selection",2015,85,263,0.848615809129652,6.60570958070808
"86","selection",2015,86,257,0.848221418128603,6.58854488999844
"87","selection",2015,87,260,0.847821914583701,6.57124839798318
"88","selection",2015,88,272,0.847900013670798,6.5746225501666
"89","selection",2015,89,272,0.847832428627635,6.57170243949629
"90","selection",2015,90,269,0.845124759207746,6.45680997740224
"91","selection",2015,91,257,0.848852451551701,6.61605173399195
"92","selection",2015,92,260,0.845907080829881,6.48959086105701
"93","selection",2015,93,262,0.848598001415038,6.60493262536975
"94","selection",2015,94,258,0.847413044940108,6.55364018246179
"95","selection",2015,95,264,0.847808716765178,6.57067854837032
"96","selection",2015,96,263,0.847308716999918,6.54916233822899
"97","selection",2015,97,266,0.847167552934695,6.54311318834476
"98","selection",2015,98,262,0.851110656924571,6.71639742203302
"99","selection",2015,99,262,0.850270651301604,6.67871735697138
"100","selection",2015,100,264,0.849800319369035,6.65780377028204
