"","name","beta","p_survive_annual"
"169","Piper colonense",-0.924192517159245,0.897719311784615
"170","Piper cordulatum",-0.767609002797421,0.847152854224255
"171","Piper perlasense",-0.683401712867867,0.880667800442863
"172","Piper reticulatum",-0.723119254472728,0.96836038242954
"173","Platymiscium pinnatum polystachyum",-0.953530210830527,0.982152184671463
"174","Platypodium elegans",-0.962256741667576,0.975178707768882
"175","Posoqueria latifolia",-0.808681265171739,0.990222644960237
"176","Poulsenia armata",-0.768135822572624,0.951548472253369
"177","Pourouma bicolor",-0.581866536669512,0.978655837227127
"178","Pouteria fossicola",-0.903240128166406,0.986502556520293
"179","Pouteria reticulata reticulata",-0.71847072113417,0.987515598915719
"180","Pouteria stipitata",-0.882124245877852,0.98489190660792
"181","Prioria copaifera",-0.804003448341617,0.991951025507547
"182","Protium costaricense",-0.440414497786949,0.935631349073536
"183","Protium panamense",-0.567913994379527,0.961376005101778
"184","Protium tenuifolium",-0.779808097201765,0.978334633418667
"185","Pseudobombax septenatum",-0.866660707666425,0.979731346471048
"186","Psidium friedrichsthalianum",-0.953517363815735,0.990320943087031
"187","Psychotria acuminata",0.397795538846359,0.779942922587521
"188","Psychotria chagrensis",-0.229135768572042,0.922836440218496
"189","Psychotria cyanococca",-0.182276181292127,0.881439965550277
"190","Psychotria deflexa",0.0269427946504864,0.83545651822747
"191","Psychotria graciliflora",0.34812240412345,0.875389068514756
"192","Psychotria grandis",-0.447218229044139,0.927806515752533
"193","Psychotria hoffmannseggiana",-0.266348283112095,0.760577130536566
"194","Psychotria horizontalis",-0.725914392032954,0.933209402083969
"195","Psychotria limonensis",0.246349691837599,0.877313145958547
"196","Psychotria marginata",-0.164708020193955,0.922966226461665
"197","Psychotria racemosa",-0.216358843802925,0.832929555490497
"198","Psychotria tenuifolia",-0.226523767225466,0.768971373527905
"199","Pterocarpus rohrii",-0.967002987318507,0.885689270450144
"200","Quararibea asterolepis",-0.90114720463892,0.984199050056907
"201","Quassia amara",-0.886240241028883,0.980748531213241
"202","Randia armata",-0.865771744757627,0.984271789123542
"203","Rinorea sylvatica",-0.743368897081523,0.972339630343265
"204","Sapium glandulosum",-0.977841097850765,0.970272261161478
"205","Senna dariensis dariensis",0.124416258042143,0.874729588591804
"206","Simarouba amara",-0.578961274403153,0.95395045581961
"207","Siparuna pauciflora",-0.751981806614638,0.950572941022304
"208","Sloanea terniflora",-0.88439474244023,0.980383659496665
"209","Socratea exorrhiza",-0.725919368166349,0.960746773724132
"210","Solanum circinatum",-0.0605095077751381,0.679322884260366
"211","Solanum hayesii",-0.0844674602422351,0.867137507938323
"212","Sorocea affinis",-0.794988648666678,0.971780011086077
"213","Spachea membranacea",-0.836766823856859,0.97277176513904
"214","Spondias mombin",-0.777156735072319,0.990017578445792
"215","Spondias radlkoferi",-0.825157483131178,0.979089516081153
"216","Stemmadenia grandiflora",-0.590444488678125,0.94553164086807
"217","Sterculia apetala apetala",-0.803116674687329,0.98268934296883
"218","Stylogyne turbacensis",-0.676614318995031,0.96046838164985
"219","Swartzia simplex continentalis",-0.851501262559621,0.991612760309617
