"","species","censusyear","est","LCI","UCI"
"101","Celtis schippii",2403,0.0215605979187939,0.00454315135540334,0.0452493419291514
"102","Celtis schippii",2407,0.0212256623501679,0.00443583656050801,0.0453623168946996
"103","Celtis schippii",2411,0.020987141494659,0.00448844145472351,0.0450313134897631
"104","Celtis schippii",2415,0.020673967714082,0.00450618094849618,0.04431942625558
"105","Celtis schippii",2419,0.0203959288876843,0.00455050335332353,0.043972564114298
"106","Celtis schippii",2423,0.0203626821071123,0.00430325795740637,0.0437653674805182
"107","Celtis schippii",2428,0.02008967760102,0.00419964576437758,0.0432797858680301
"108","Celtis schippii",2432,0.0197310094049455,0.00426313915318851,0.0429169155758787
"109","Celtis schippii",2436,0.0192908248546419,0.00419812176680486,0.0425928397858451
"110","Celtis schippii",2440,0.0192277091018221,0.00408772861087366,0.042231832793449
"111","Celtis schippii",2444,0.0192687458279478,0.00403301778981884,0.0415601314913826
"112","Celtis schippii",2448,0.0189530363368762,0.00403516347989601,0.041020926448656
"113","Celtis schippii",2452,0.0187185802283164,0.00385817726814048,0.040493817086756
"114","Celtis schippii",2456,0.0187459874603343,0.00375908121557486,0.0398688742387262
"115","Celtis schippii",2460,0.0185617533802727,0.00374462827122608,0.0393055749251979
"116","Celtis schippii",2465,0.0185015624941277,0.00371733189406217,0.038914262461561
"117","Celtis schippii",2469,0.0181023783376572,0.00354117957829661,0.0387322148529456
"118","Celtis schippii",2473,0.0179168891126794,0.00348204009728472,0.0384983492639819
"119","Celtis schippii",2477,0.0179033999517871,0.00321702076295338,0.0383099298595693
"120","Celtis schippii",2481,0.0176237578464307,0.00301737943488098,0.0382860800219427
"121","Celtis schippii",2485,0.0173873725400148,0.00273024129091181,0.0378847349453992
"122","Celtis schippii",2489,0.017116316744705,0.00264199828716302,0.0377193332608077
"123","Celtis schippii",2494,0.0169274884105291,0.00235066553968942,0.0372664388713539
"124","Celtis schippii",2498,0.0168486742584192,0.0022220720234947,0.0370803994508139
"125","Celtis schippii",2502,0.0164987261291867,0.00211354476144113,0.0366039214202968
"126","Celtis schippii",2506,0.0164355438376571,0.00204649468359133,0.0359681578470763
"127","Celtis schippii",2510,0.016387143494822,0.00189920249248411,0.035713233737387
"128","Celtis schippii",2514,0.016016755323168,0.00177849704958454,0.0351346140482421
"129","Celtis schippii",2518,0.0158685391892277,0.00165458353473829,0.0347923816233474
"130","Celtis schippii",2522,0.0156044684328497,0.0015556654137726,0.0344342896045444
"131","Celtis schippii",2526,0.0153361050308149,0.00147737092738266,0.0340041297782241
"132","Celtis schippii",2531,0.0151783810410449,0.00142738765257,0.0332718332574059
"133","Celtis schippii",2535,0.0149100802701261,0.00138670492219439,0.033045769736697
"134","Celtis schippii",2539,0.014871277767701,0.00129903314755614,0.0327427538940022
"135","Celtis schippii",2543,0.0147795681186498,0.00126425921463466,0.0323732097544679
"136","Celtis schippii",2547,0.0147433871929755,0.00120793544506413,0.0319632338370961
"137","Celtis schippii",2551,0.0144576498464458,0.00114117766005253,0.0316618506006357
"138","Celtis schippii",2555,0.0143843600505615,0.00110240572638391,0.0315072953239826
"139","Celtis schippii",2560,0.0142608854156855,0.00105217935650231,0.0312174043462536
"140","Celtis schippii",2564,0.0143369703405152,0.000985884209532929,0.0308618729121298
"141","Celtis schippii",2568,0.0142808412653137,0.000985760742704886,0.0305748047433509
"142","Celtis schippii",2572,0.0141952410716877,0.000918970695958993,0.0304395230996703
"143","Celtis schippii",2576,0.0140849134240736,0.000885892412846398,0.0298759827375528
"144","Celtis schippii",2580,0.0138332659049065,0.000840296349190004,0.0296188872767744
"145","Celtis schippii",2584,0.0135423133216523,0.000790495585011496,0.0291889329196296
"146","Celtis schippii",2588,0.0133229603270863,0.00082432268590675,0.0289056409623301
"147","Celtis schippii",2592,0.0131068469245431,0.000813281621229125,0.0283862674564253
"148","Celtis schippii",2597,0.0129534684083359,0.000784474123679104,0.0277133718319329
