"","censussize","censusyear","simulation_nr","D_species_richness","D_simpson","N_runs","H_simpson"
"396",33459.2,2015,96,216,0.846678247738196,1,6.52223174629818
"397",33459.2,2015,97,222,0.847505341223312,1,6.55760672552076
"398",33459.2,2015,98,214,0.850993371938473,1,6.7111108613711
"399",33459.2,2015,99,227,0.843991127891932,1,6.40989186376076
"400",33459.2,2015,100,222,0.853974713742847,1,6.84812901677169
"401",41824,2015,1,225,0.846001510287563,1,6.49357017635246
"402",41824,2015,2,229,0.849426974920966,1,6.64129580630468
"403",41824,2015,3,223,0.848078510680876,1,6.5823472668795
"404",41824,2015,4,221,0.850513717595744,1,6.68957702283144
"405",41824,2015,5,227,0.847755954588228,1,6.56840139327167
"406",41824,2015,6,222,0.847698847744416,1,6.56593850532298
"407",41824,2015,7,219,0.846201215490228,1,6.50200197087032
"408",41824,2015,8,228,0.846951014946584,1,6.53385580865489
"409",41824,2015,9,220,0.847436019219734,1,6.55462708095086
"410",41824,2015,10,224,0.84919863211059,1,6.63123958353846
"411",41824,2015,11,222,0.849008091288195,1,6.62287144080466
"412",41824,2015,12,227,0.849028650644523,1,6.62377334685805
"413",41824,2015,13,227,0.846970303934589,1,6.53467938387961
"414",41824,2015,14,225,0.850326870616553,1,6.68122597636147
"415",41824,2015,15,218,0.847009382928172,1,6.53634856267364
"416",41824,2015,16,224,0.847382066083933,1,6.55230990448315
"417",41824,2015,17,225,0.84908164591154,1,6.6260992974642
"418",41824,2015,18,223,0.844742719282599,1,6.44092177435595
"419",41824,2015,19,225,0.847453676061984,1,6.55538576207403
"420",41824,2015,20,225,0.845472471167832,1,6.47133884530112
"421",41824,2015,21,217,0.849002144479425,1,6.62261060961715
"422",41824,2015,22,227,0.848706630550966,1,6.60967498867732
"423",41824,2015,23,223,0.850039502894067,1,6.66842281333325
"424",41824,2015,24,223,0.848548574563367,1,6.60277707599655
"425",41824,2015,25,223,0.846834184821337,1,6.52887198643858
"426",41824,2015,26,223,0.851982284043822,1,6.75594805351581
"427",41824,2015,27,228,0.845911878136018,1,6.4897929048855
"428",41824,2015,28,225,0.851090971002511,1,6.71550950759919
"429",41824,2015,29,221,0.851443769201952,1,6.7314578098002
"430",41824,2015,30,226,0.850754599434456,1,6.7003739894874
"431",41824,2015,31,230,0.849186118912072,1,6.63068938207998
"432",41824,2015,32,224,0.847713207022734,1,6.56655761441692
"433",41824,2015,33,224,0.848644562141151,1,6.60696446818503
"434",41824,2015,34,216,0.849884462708885,1,6.66153562812575
"435",41824,2015,35,224,0.844989949569386,1,6.45119459816975
"436",41824,2015,36,221,0.850862194443084,1,6.705207953582
"437",41824,2015,37,223,0.847981582006154,1,6.57815028729271
"438",41824,2015,38,223,0.845028893684286,1,6.4528157782055
"439",41824,2015,39,225,0.849679397470743,1,6.65244805551765
"440",41824,2015,40,227,0.846590883374191,1,6.51851742578747
"441",41824,2015,41,224,0.848406695326946,1,6.59659740353791
"442",41824,2015,42,230,0.850298916406902,1,6.67997836754541
"443",41824,2015,43,225,0.849259066555886,1,6.63389815328919
"444",41824,2015,44,222,0.84720130006892,1,6.54455830089556
"445",41824,2015,45,223,0.846291882345244,1,6.50583726648779
"446",41824,2015,46,223,0.848165871622855,1,6.58613455807558
"447",41824,2015,47,220,0.849202431168481,1,6.63140664500543
"448",41824,2015,48,218,0.845866482432643,1,6.48788151845685
"449",41824,2015,49,218,0.847908292823909,1,6.57498044151878
"450",41824,2015,50,218,0.848604872271582,1,6.60523238101734
"451",41824,2015,51,221,0.850302496184917,1,6.68013810861716
"452",41824,2015,52,225,0.847663601786403,1,6.56441934906364
"453",41824,2015,53,216,0.849845430490685,1,6.65980398244202
"454",41824,2015,54,226,0.848123258199954,1,6.58428662708971
"455",41824,2015,55,228,0.848029404205944,1,6.58022030363794
"456",41824,2015,56,223,0.84897874163852,1,6.62158434414864
"457",41824,2015,57,223,0.84826283137263,1,6.59034308499427
"458",41824,2015,58,219,0.851860125947463,1,6.75037700953732
"459",41824,2015,59,229,0.846637177804535,1,6.52048511943443
"460",41824,2015,60,227,0.84903386306952,1,6.62400204663447
"461",41824,2015,61,231,0.844780555570689,1,6.4424918132948
"462",41824,2015,62,229,0.851085994066436,1,6.71528506489939
"463",41824,2015,63,229,0.848447526929116,1,6.59837467338641
"464",41824,2015,64,226,0.849281657808673,1,6.63489251182559
"465",41824,2015,65,222,0.848426394890145,1,6.59745474335876
"466",41824,2015,66,225,0.846407686031755,1,6.51074245946152
"467",41824,2015,67,223,0.849721074334603,1,6.65429297935326
"468",41824,2015,68,223,0.847626328425592,1,6.5628135731551
"469",41824,2015,69,227,0.848435943324518,1,6.59787037860254
"470",41824,2015,70,222,0.843612633455597,1,6.39437840854023
"471",41824,2015,71,227,0.849079846550808,1,6.6260202971279
"472",41824,2015,72,224,0.844094402209231,1,6.41413787683261
"473",41824,2015,73,221,0.849106678713911,1,6.62719854978892
"474",41824,2015,74,221,0.847343826491954,1,6.55066858430913
"475",41824,2015,75,225,0.850343518419035,1,6.68196919662977
"476",41824,2015,76,214,0.848926961642808,1,6.61931480874591
"477",41824,2015,77,225,0.849216023289291,1,6.63200441992973
"478",41824,2015,78,223,0.845626946215383,1,6.47781445973861
"479",41824,2015,79,225,0.850151016829647,1,6.67338528993
"480",41824,2015,80,224,0.848080502977344,1,6.58243358882939
"481",41824,2015,81,228,0.848181818435111,1,6.58682635829482
"482",41824,2015,82,224,0.848714659015523,1,6.61002575327248
"483",41824,2015,83,225,0.851217663515765,1,6.72122796045725
"484",41824,2015,84,223,0.84496715267167,1,6.45024597840349
"485",41824,2015,85,226,0.84936081115845,1,6.63837881556737
"486",41824,2015,86,224,0.847415491090015,1,6.55374524677297
"487",41824,2015,87,221,0.845147134862254,1,6.45774296207223
"488",41824,2015,88,226,0.849109581408612,1,6.62732603789779
"489",41824,2015,89,220,0.844615558578442,1,6.43565076948085
"490",41824,2015,90,225,0.850266680116833,1,6.67854022591815
"491",41824,2015,91,218,0.848248125734674,1,6.58970444247418
"492",41824,2015,92,224,0.84794926954916,1,6.57675235781465
"493",41824,2015,93,222,0.84584950650731,1,6.48716703620168
"494",41824,2015,94,225,0.847918767510283,1,6.57543329725195
"495",41824,2015,95,218,0.85288333249525,1,6.79732634623274
"496",41824,2015,96,220,0.844723014127814,1,6.44010440042373
"497",41824,2015,97,224,0.852864819456459,1,6.79647108397758
"498",41824,2015,98,222,0.848682194528155,1,6.60860760491314
"499",41824,2015,99,223,0.84753434479402,1,6.55885418030052
"500",41824,2015,100,224,0.850220303652478,1,6.67647234161683
"501",50188.8,2015,1,226,0.847113302890234,1,6.54079144166509
"502",50188.8,2015,2,230,0.852443585242714,1,6.77706897151769
"503",50188.8,2015,3,230,0.851995770482251,1,6.75656366887863
"504",50188.8,2015,4,231,0.850656750138706,1,6.69598392246567
"505",50188.8,2015,5,233,0.847437748407866,1,6.55470137313809
"506",50188.8,2015,6,234,0.850720874449942,1,6.69886024797665
"507",50188.8,2015,7,235,0.848409515467915,1,6.59672012452963
"508",50188.8,2015,8,226,0.846562044231751,1,6.51729225010263
"509",50188.8,2015,9,230,0.847180494988907,1,6.54366731476725
"510",50188.8,2015,10,228,0.845666017601886,1,6.47945439145373
"511",50188.8,2015,11,232,0.847471378334195,1,6.55614657156629
"512",50188.8,2015,12,230,0.847986183794096,1,6.57834942217025
"513",50188.8,2015,13,231,0.847785241686336,1,6.56966519592887
"514",50188.8,2015,14,228,0.847619494948627,1,6.56251926493394
"515",50188.8,2015,15,236,0.850784892087552,1,6.70173425459537
"516",50188.8,2015,16,238,0.84839526502802,1,6.59610005046888
"517",50188.8,2015,17,233,0.848107396929733,1,6.58359906793745
"518",50188.8,2015,18,237,0.850909976881,1,6.7073569316025
"519",50188.8,2015,19,233,0.847204147067305,1,6.54468024364832
"520",50188.8,2015,20,224,0.849265123290898,1,6.63416471245646
"521",50188.8,2015,21,229,0.848062754938113,1,6.58166468394684
"522",50188.8,2015,22,235,0.848069630537451,1,6.58196253676918
"523",50188.8,2015,23,235,0.850636984314736,1,6.69509781529311
"524",50188.8,2015,24,231,0.852791420199302,1,6.7930823145898
"525",50188.8,2015,25,230,0.849794246926623,1,6.65753461194985
"526",50188.8,2015,26,230,0.847118547830553,1,6.5410158381518
"527",50188.8,2015,27,223,0.849189387675006,1,6.63083309976236
"528",50188.8,2015,28,232,0.849133418433644,1,6.62837316003061
"529",50188.8,2015,29,230,0.84835474258842,1,6.5943374495775
"530",50188.8,2015,30,234,0.845378825944909,1,6.46741952459695
"531",50188.8,2015,31,230,0.846798481088235,1,6.52735042774571
"532",50188.8,2015,32,237,0.847127038380687,1,6.54137912556582
"533",50188.8,2015,33,225,0.844532531762326,1,6.43221383441602
"534",50188.8,2015,34,230,0.848278237936393,1,6.59101230040267
"535",50188.8,2015,35,229,0.849280359501774,1,6.63483535851303
"536",50188.8,2015,36,225,0.846830607757163,1,6.52871951345594
"537",50188.8,2015,37,231,0.848768006306441,1,6.61235744882329
