"","species_year","genus_species_subspecies","censusyear","N_present","N_born","N_died"
"922","Inga oerstediana_1985","Inga oerstediana",1985,0,0,1
"923","Inga oerstediana_1990","Inga oerstediana",1990,0,0,0
"924","Inga oerstediana_1995","Inga oerstediana",1995,0,0,0
"925","Inga oerstediana_2000","Inga oerstediana",2000,0,0,0
"926","Inga oerstediana_2005","Inga oerstediana",2005,0,0,0
"927","Inga oerstediana_2010","Inga oerstediana",2010,0,0,0
"928","Inga oerstediana_2015","Inga oerstediana",2015,0,0,0
"929","Inga pezizifera_1982","Inga pezizifera",1982,7,7,0
"930","Inga pezizifera_1985","Inga pezizifera",1985,3,0,4
"931","Inga pezizifera_1990","Inga pezizifera",1990,0,0,3
"932","Inga pezizifera_1995","Inga pezizifera",1995,0,0,0
"933","Inga pezizifera_2000","Inga pezizifera",2000,0,0,0
"934","Inga pezizifera_2005","Inga pezizifera",2005,0,0,0
"935","Inga pezizifera_2010","Inga pezizifera",2010,0,0,0
"936","Inga pezizifera_2015","Inga pezizifera",2015,0,0,0
"937","Inga punctata_1982","Inga punctata",1982,3,3,0
"938","Inga punctata_1985","Inga punctata",1985,2,0,1
"939","Inga punctata_1990","Inga punctata",1990,3,1,0
"940","Inga punctata_1995","Inga punctata",1995,3,2,2
"941","Inga punctata_2000","Inga punctata",2000,3,0,0
"942","Inga punctata_2005","Inga punctata",2005,2,0,1
"943","Inga punctata_2010","Inga punctata",2010,1,0,1
"944","Inga punctata_2015","Inga punctata",2015,1,1,1
"945","Inga ruiziana_1982","Inga ruiziana",1982,5,5,0
"946","Inga ruiziana_1985","Inga ruiziana",1985,4,0,1
"947","Inga ruiziana_1990","Inga ruiziana",1990,4,1,1
"948","Inga ruiziana_1995","Inga ruiziana",1995,4,0,0
"949","Inga ruiziana_2000","Inga ruiziana",2000,4,0,0
"950","Inga ruiziana_2005","Inga ruiziana",2005,2,0,2
"951","Inga ruiziana_2010","Inga ruiziana",2010,1,0,1
"952","Inga ruiziana_2015","Inga ruiziana",2015,1,0,0
"953","Inga sapindoides_1982","Inga sapindoides",1982,16,16,0
"954","Inga sapindoides_1985","Inga sapindoides",1985,18,5,3
"955","Inga sapindoides_1990","Inga sapindoides",1990,19,4,3
"956","Inga sapindoides_1995","Inga sapindoides",1995,25,10,4
"957","Inga sapindoides_2000","Inga sapindoides",2000,28,8,5
"958","Inga sapindoides_2005","Inga sapindoides",2005,30,7,5
"959","Inga sapindoides_2010","Inga sapindoides",2010,30,8,8
"960","Inga sapindoides_2015","Inga sapindoides",2015,33,8,5
"961","Inga spectabilis_1982","Inga spectabilis",1982,7,7,0
"962","Inga spectabilis_1985","Inga spectabilis",1985,7,1,1
"963","Inga spectabilis_1990","Inga spectabilis",1990,7,1,1
"964","Inga spectabilis_1995","Inga spectabilis",1995,6,0,1
"965","Inga spectabilis_2000","Inga spectabilis",2000,8,3,1
"966","Inga spectabilis_2005","Inga spectabilis",2005,8,1,1
"967","Inga spectabilis_2010","Inga spectabilis",2010,7,1,2
"968","Inga spectabilis_2015","Inga spectabilis",2015,6,0,1
"969","Inga umbellifera_1982","Inga umbellifera",1982,50,50,0
"970","Inga umbellifera_1985","Inga umbellifera",1985,47,7,10
"971","Inga umbellifera_1990","Inga umbellifera",1990,39,9,17
"972","Inga umbellifera_1995","Inga umbellifera",1995,41,12,10
"973","Inga umbellifera_2000","Inga umbellifera",2000,40,7,8
"974","Inga umbellifera_2005","Inga umbellifera",2005,41,13,12
"975","Inga umbellifera_2010","Inga umbellifera",2010,51,18,8
"976","Inga umbellifera_2015","Inga umbellifera",2015,69,29,11
"977","Jacaranda copaia spectabilis_1982","Jacaranda copaia spectabilis",1982,112,112,0
"978","Jacaranda copaia spectabilis_1985","Jacaranda copaia spectabilis",1985,136,28,4
"979","Jacaranda copaia spectabilis_1990","Jacaranda copaia spectabilis",1990,146,22,12
"980","Jacaranda copaia spectabilis_1995","Jacaranda copaia spectabilis",1995,150,11,7
"981","Jacaranda copaia spectabilis_2000","Jacaranda copaia spectabilis",2000,165,25,10
"982","Jacaranda copaia spectabilis_2005","Jacaranda copaia spectabilis",2005,172,19,12
"983","Jacaranda copaia spectabilis_2010","Jacaranda copaia spectabilis",2010,167,10,15
"984","Jacaranda copaia spectabilis_2015","Jacaranda copaia spectabilis",2015,161,7,13
"985","Koanophyllon wetmorei_1982","Koanophyllon wetmorei",1982,10,10,0
"986","Koanophyllon wetmorei_1985","Koanophyllon wetmorei",1985,9,2,3
"987","Koanophyllon wetmorei_1990","Koanophyllon wetmorei",1990,6,0,3
"988","Koanophyllon wetmorei_1995","Koanophyllon wetmorei",1995,6,2,2
"989","Koanophyllon wetmorei_2000","Koanophyllon wetmorei",2000,2,0,4
"990","Koanophyllon wetmorei_2005","Koanophyllon wetmorei",2005,0,0,2
"991","Koanophyllon wetmorei_2010","Koanophyllon wetmorei",2010,0,0,0
"992","Koanophyllon wetmorei_2015","Koanophyllon wetmorei",2015,0,0,0
"993","Lacistema aggregatum_1982","Lacistema aggregatum",1982,143,143,0
"994","Lacistema aggregatum_1985","Lacistema aggregatum",1985,147,23,19
"995","Lacistema aggregatum_1990","Lacistema aggregatum",1990,149,20,18
"996","Lacistema aggregatum_1995","Lacistema aggregatum",1995,146,17,20
"997","Lacistema aggregatum_2000","Lacistema aggregatum",2000,135,23,34
"998","Lacistema aggregatum_2005","Lacistema aggregatum",2005,135,20,20
"999","Lacistema aggregatum_2010","Lacistema aggregatum",2010,135,22,22
"1000","Lacistema aggregatum_2015","Lacistema aggregatum",2015,154,41,22
"1001","Lacmellea panamensis_1982","Lacmellea panamensis",1982,11,11,0
"1002","Lacmellea panamensis_1985","Lacmellea panamensis",1985,12,3,2
"1003","Lacmellea panamensis_1990","Lacmellea panamensis",1990,19,7,0
"1004","Lacmellea panamensis_1995","Lacmellea panamensis",1995,27,8,0
"1005","Lacmellea panamensis_2000","Lacmellea panamensis",2000,28,3,2
"1006","Lacmellea panamensis_2005","Lacmellea panamensis",2005,32,5,1
"1007","Lacmellea panamensis_2010","Lacmellea panamensis",2010,39,7,0
"1008","Lacmellea panamensis_2015","Lacmellea panamensis",2015,41,3,1
"1009","Laetia procera_1982","Laetia procera",1982,3,3,0
"1010","Laetia procera_1985","Laetia procera",1985,4,1,0
"1011","Laetia procera_1990","Laetia procera",1990,6,3,1
"1012","Laetia procera_1995","Laetia procera",1995,5,0,1
"1013","Laetia procera_2000","Laetia procera",2000,6,2,1
"1014","Laetia procera_2005","Laetia procera",2005,7,1,0
"1015","Laetia procera_2010","Laetia procera",2010,8,2,1
"1016","Laetia procera_2015","Laetia procera",2015,8,0,0
"1017","Laetia thamnia_1982","Laetia thamnia",1982,35,35,0
"1018","Laetia thamnia_1985","Laetia thamnia",1985,43,12,4
"1019","Laetia thamnia_1990","Laetia thamnia",1990,53,17,7
"1020","Laetia thamnia_1995","Laetia thamnia",1995,54,8,7
"1021","Laetia thamnia_2000","Laetia thamnia",2000,52,8,10
"1022","Laetia thamnia_2005","Laetia thamnia",2005,54,11,9
"1023","Laetia thamnia_2010","Laetia thamnia",2010,51,5,8
"1024","Laetia thamnia_2015","Laetia thamnia",2015,54,12,9
"1025","Lafoensia punicifolia_1982","Lafoensia punicifolia",1982,2,2,0
"1026","Lafoensia punicifolia_1985","Lafoensia punicifolia",1985,1,0,1
"1027","Lafoensia punicifolia_1990","Lafoensia punicifolia",1990,2,1,0
"1028","Lafoensia punicifolia_1995","Lafoensia punicifolia",1995,2,0,0
"1029","Lafoensia punicifolia_2000","Lafoensia punicifolia",2000,2,0,0
"1030","Lafoensia punicifolia_2005","Lafoensia punicifolia",2005,1,0,1
"1031","Lafoensia punicifolia_2010","Lafoensia punicifolia",2010,1,0,0
"1032","Lafoensia punicifolia_2015","Lafoensia punicifolia",2015,1,1,1
"1033","Licania hypoleuca_1982","Licania hypoleuca",1982,22,22,0
"1034","Licania hypoleuca_1985","Licania hypoleuca",1985,21,2,3
"1035","Licania hypoleuca_1990","Licania hypoleuca",1990,24,4,1
"1036","Licania hypoleuca_1995","Licania hypoleuca",1995,23,1,2
"1037","Licania hypoleuca_2000","Licania hypoleuca",2000,18,1,6
"1038","Licania hypoleuca_2005","Licania hypoleuca",2005,17,1,2
"1039","Licania hypoleuca_2010","Licania hypoleuca",2010,15,1,3
"1040","Licania hypoleuca_2015","Licania hypoleuca",2015,17,3,1
"1041","Licania platypus_1982","Licania platypus",1982,4,4,0
"1042","Licania platypus_1985","Licania platypus",1985,4,0,0
"1043","Licania platypus_1990","Licania platypus",1990,3,0,1
"1044","Licania platypus_1995","Licania platypus",1995,3,0,0
"1045","Licania platypus_2000","Licania platypus",2000,1,0,2
"1046","Licania platypus_2005","Licania platypus",2005,2,1,0
"1047","Licania platypus_2010","Licania platypus",2010,2,0,0
"1048","Licania platypus_2015","Licania platypus",2015,2,0,0
"1049","Lindackeria laurina_1982","Lindackeria laurina",1982,85,85,0
"1050","Lindackeria laurina_1985","Lindackeria laurina",1985,81,0,4
"1051","Lindackeria laurina_1990","Lindackeria laurina",1990,70,2,13
"1052","Lindackeria laurina_1995","Lindackeria laurina",1995,65,1,6
"1053","Lindackeria laurina_2000","Lindackeria laurina",2000,56,1,10
"1054","Lindackeria laurina_2005","Lindackeria laurina",2005,50,0,6
"1055","Lindackeria laurina_2010","Lindackeria laurina",2010,41,2,11
"1056","Lindackeria laurina_2015","Lindackeria laurina",2015,33,1,9
"1057","Lonchocarpus heptaphyllus_1982","Lonchocarpus heptaphyllus",1982,42,42,0
"1058","Lonchocarpus heptaphyllus_1985","Lonchocarpus heptaphyllus",1985,44,7,5
"1059","Lonchocarpus heptaphyllus_1990","Lonchocarpus heptaphyllus",1990,34,5,15
"1060","Lonchocarpus heptaphyllus_1995","Lonchocarpus heptaphyllus",1995,31,5,8
"1061","Lonchocarpus heptaphyllus_2000","Lonchocarpus heptaphyllus",2000,31,2,2
"1062","Lonchocarpus heptaphyllus_2005","Lonchocarpus heptaphyllus",2005,25,1,7
"1063","Lonchocarpus heptaphyllus_2010","Lonchocarpus heptaphyllus",2010,19,0,6
"1064","Lonchocarpus heptaphyllus_2015","Lonchocarpus heptaphyllus",2015,18,2,3
"1065","Luehea seemannii_1982","Luehea seemannii",1982,51,51,0
"1066","Luehea seemannii_1985","Luehea seemannii",1985,53,4,2
"1067","Luehea seemannii_1990","Luehea seemannii",1990,48,0,5
"1068","Luehea seemannii_1995","Luehea seemannii",1995,51,3,0
"1069","Luehea seemannii_2000","Luehea seemannii",2000,49,0,2
"1070","Luehea seemannii_2005","Luehea seemannii",2005,46,1,4
"1071","Luehea seemannii_2010","Luehea seemannii",2010,45,0,1
"1072","Luehea seemannii_2015","Luehea seemannii",2015,40,0,5
"1073","Macrocnemum roseum_1982","Macrocnemum roseum",1982,28,28,0
"1074","Macrocnemum roseum_1985","Macrocnemum roseum",1985,27,1,2
"1075","Macrocnemum roseum_1990","Macrocnemum roseum",1990,28,2,1
"1076","Macrocnemum roseum_1995","Macrocnemum roseum",1995,28,0,0
"1077","Macrocnemum roseum_2000","Macrocnemum roseum",2000,29,2,1
"1078","Macrocnemum roseum_2005","Macrocnemum roseum",2005,29,3,3
"1079","Macrocnemum roseum_2010","Macrocnemum roseum",2010,29,0,0
"1080","Macrocnemum roseum_2015","Macrocnemum roseum",2015,32,5,2
"1081","Malpighia romeroana_1982","Malpighia romeroana",1982,47,47,0
"1082","Malpighia romeroana_1985","Malpighia romeroana",1985,63,21,5
"1083","Malpighia romeroana_1990","Malpighia romeroana",1990,60,9,12
"1084","Malpighia romeroana_1995","Malpighia romeroana",1995,52,2,10
"1085","Malpighia romeroana_2000","Malpighia romeroana",2000,44,3,11
"1086","Malpighia romeroana_2005","Malpighia romeroana",2005,38,7,13
"1087","Malpighia romeroana_2010","Malpighia romeroana",2010,37,7,8
"1088","Malpighia romeroana_2015","Malpighia romeroana",2015,41,10,6
"1089","Maquira guianensis costaricana_1982","Maquira guianensis costaricana",1982,220,220,0
"1090","Maquira guianensis costaricana_1985","Maquira guianensis costaricana",1985,202,20,38
"1091","Maquira guianensis costaricana_1990","Maquira guianensis costaricana",1990,176,17,43
"1092","Maquira guianensis costaricana_1995","Maquira guianensis costaricana",1995,166,15,25
"1093","Maquira guianensis costaricana_2000","Maquira guianensis costaricana",2000,156,20,30
"1094","Maquira guianensis costaricana_2005","Maquira guianensis costaricana",2005,153,21,24
"1095","Maquira guianensis costaricana_2010","Maquira guianensis costaricana",2010,164,28,17
"1096","Maquira guianensis costaricana_2015","Maquira guianensis costaricana",2015,176,35,23
"1097","Marila laxiflora_1982","Marila laxiflora",1982,10,10,0
"1098","Marila laxiflora_1985","Marila laxiflora",1985,11,1,0
"1099","Marila laxiflora_1990","Marila laxiflora",1990,11,0,0
"1100","Marila laxiflora_1995","Marila laxiflora",1995,10,0,1
"1101","Marila laxiflora_2000","Marila laxiflora",2000,9,1,2
"1102","Marila laxiflora_2005","Marila laxiflora",2005,9,0,0
"1103","Marila laxiflora_2010","Marila laxiflora",2010,6,0,3
"1104","Marila laxiflora_2015","Marila laxiflora",2015,5,0,1
"1105","Maytenus schippii_1982","Maytenus schippii",1982,31,31,0
"1106","Maytenus schippii_1985","Maytenus schippii",1985,28,0,3
"1107","Maytenus schippii_1990","Maytenus schippii",1990,30,4,2
"1108","Maytenus schippii_1995","Maytenus schippii",1995,31,2,1
"1109","Maytenus schippii_2000","Maytenus schippii",2000,33,3,1
"1110","Maytenus schippii_2005","Maytenus schippii",2005,31,1,3
"1111","Maytenus schippii_2010","Maytenus schippii",2010,31,1,1
"1112","Maytenus schippii_2015","Maytenus schippii",2015,30,1,2
"1113","Miconia affinis_1982","Miconia affinis",1982,100,100,0
"1114","Miconia affinis_1985","Miconia affinis",1985,120,38,18
"1115","Miconia affinis_1990","Miconia affinis",1990,133,50,37
"1116","Miconia affinis_1995","Miconia affinis",1995,129,41,45
"1117","Miconia affinis_2000","Miconia affinis",2000,122,36,43
"1118","Miconia affinis_2005","Miconia affinis",2005,118,45,49
"1119","Miconia affinis_2010","Miconia affinis",2010,141,64,41
"1120","Miconia affinis_2015","Miconia affinis",2015,145,43,39
"1121","Miconia argentea_1982","Miconia argentea",1982,46,46,0
"1122","Miconia argentea_1985","Miconia argentea",1985,52,10,4
"1123","Miconia argentea_1990","Miconia argentea",1990,56,20,16
"1124","Miconia argentea_1995","Miconia argentea",1995,70,30,16
"1125","Miconia argentea_2000","Miconia argentea",2000,75,22,17
"1126","Miconia argentea_2005","Miconia argentea",2005,71,18,22
"1127","Miconia argentea_2010","Miconia argentea",2010,58,12,25
"1128","Miconia argentea_2015","Miconia argentea",2015,57,16,17
"1129","Miconia elata_1982","Miconia elata",1982,2,2,0
"1130","Miconia elata_1985","Miconia elata",1985,3,1,0
"1131","Miconia elata_1990","Miconia elata",1990,2,0,1
"1132","Miconia elata_1995","Miconia elata",1995,1,0,1
"1133","Miconia elata_2000","Miconia elata",2000,1,0,0
"1134","Miconia elata_2005","Miconia elata",2005,1,0,0
"1135","Miconia elata_2010","Miconia elata",2010,0,0,1
"1136","Miconia elata_2015","Miconia elata",2015,0,0,0
"1137","Miconia hondurensis_1982","Miconia hondurensis",1982,7,7,0
"1138","Miconia hondurensis_1985","Miconia hondurensis",1985,4,0,3
"1139","Miconia hondurensis_1990","Miconia hondurensis",1990,6,2,0
"1140","Miconia hondurensis_1995","Miconia hondurensis",1995,7,1,0
"1141","Miconia hondurensis_2000","Miconia hondurensis",2000,7,0,0
"1142","Miconia hondurensis_2005","Miconia hondurensis",2005,6,0,1
"1143","Miconia hondurensis_2010","Miconia hondurensis",2010,6,1,1
"1144","Miconia hondurensis_2015","Miconia hondurensis",2015,9,4,1
"1145","Miconia impetiolaris_1982","Miconia impetiolaris",1982,6,6,0
"1146","Miconia impetiolaris_1985","Miconia impetiolaris",1985,8,2,0
"1147","Miconia impetiolaris_1990","Miconia impetiolaris",1990,9,1,0
"1148","Miconia impetiolaris_1995","Miconia impetiolaris",1995,9,1,1
"1149","Miconia impetiolaris_2000","Miconia impetiolaris",2000,8,1,2
"1150","Miconia impetiolaris_2005","Miconia impetiolaris",2005,7,1,2
"1151","Miconia impetiolaris_2010","Miconia impetiolaris",2010,5,0,2
"1152","Miconia impetiolaris_2015","Miconia impetiolaris",2015,8,3,0
"1153","Miconia nervosa_1982","Miconia nervosa",1982,355,355,0
"1154","Miconia nervosa_1985","Miconia nervosa",1985,296,106,165
"1155","Miconia nervosa_1990","Miconia nervosa",1990,320,219,195
"1156","Miconia nervosa_1995","Miconia nervosa",1995,260,111,171
"1157","Miconia nervosa_2000","Miconia nervosa",2000,295,157,122
"1158","Miconia nervosa_2005","Miconia nervosa",2005,267,142,170
"1159","Miconia nervosa_2010","Miconia nervosa",2010,391,241,117
"1160","Miconia nervosa_2015","Miconia nervosa",2015,409,211,193
"1161","Mosannona garwoodii_1982","Mosannona garwoodii",1982,90,90,0
"1162","Mosannona garwoodii_1985","Mosannona garwoodii",1985,103,16,3
"1163","Mosannona garwoodii_1990","Mosannona garwoodii",1990,120,19,2
"1164","Mosannona garwoodii_1995","Mosannona garwoodii",1995,128,14,6
"1165","Mosannona garwoodii_2000","Mosannona garwoodii",2000,137,15,6
"1166","Mosannona garwoodii_2005","Mosannona garwoodii",2005,147,12,2
"1167","Mosannona garwoodii_2010","Mosannona garwoodii",2010,147,6,6
"1168","Mosannona garwoodii_2015","Mosannona garwoodii",2015,154,17,10
"1169","Mouriri myrtilloides parvifolia_1982","Mouriri myrtilloides parvifolia",1982,2045,2045,0
"1170","Mouriri myrtilloides parvifolia_1985","Mouriri myrtilloides parvifolia",1985,2222,439,262
"1171","Mouriri myrtilloides parvifolia_1990","Mouriri myrtilloides parvifolia",1990,2583,778,417
"1172","Mouriri myrtilloides parvifolia_1995","Mouriri myrtilloides parvifolia",1995,2613,407,377
"1173","Mouriri myrtilloides parvifolia_2000","Mouriri myrtilloides parvifolia",2000,2570,410,453
"1174","Mouriri myrtilloides parvifolia_2005","Mouriri myrtilloides parvifolia",2005,2684,482,368
"1175","Mouriri myrtilloides parvifolia_2010","Mouriri myrtilloides parvifolia",2010,2809,542,417
"1176","Mouriri myrtilloides parvifolia_2015","Mouriri myrtilloides parvifolia",2015,2875,634,568
"1177","Myrcia gatunensis_1982","Myrcia gatunensis",1982,5,5,0
"1178","Myrcia gatunensis_1985","Myrcia gatunensis",1985,6,1,0
"1179","Myrcia gatunensis_1990","Myrcia gatunensis",1990,7,2,1
"1180","Myrcia gatunensis_1995","Myrcia gatunensis",1995,9,2,0
"1181","Myrcia gatunensis_2000","Myrcia gatunensis",2000,9,1,1
"1182","Myrcia gatunensis_2005","Myrcia gatunensis",2005,4,0,5
"1183","Myrcia gatunensis_2010","Myrcia gatunensis",2010,9,5,0
"1184","Myrcia gatunensis_2015","Myrcia gatunensis",2015,9,3,3
"1185","Nectandra cissiflora_1982","Nectandra cissiflora",1982,4,4,0
"1186","Nectandra cissiflora_1985","Nectandra cissiflora",1985,3,1,2
"1187","Nectandra cissiflora_1990","Nectandra cissiflora",1990,4,1,0
"1188","Nectandra cissiflora_1995","Nectandra cissiflora",1995,4,0,0
"1189","Nectandra cissiflora_2000","Nectandra cissiflora",2000,0,0,4
"1190","Nectandra cissiflora_2005","Nectandra cissiflora",2005,0,0,0
"1191","Nectandra cissiflora_2010","Nectandra cissiflora",2010,0,0,0
"1192","Nectandra cissiflora_2015","Nectandra cissiflora",2015,0,0,0
"1193","Nectandra lineata_1982","Nectandra lineata",1982,8,8,0
"1194","Nectandra lineata_1985","Nectandra lineata",1985,4,0,4
"1195","Nectandra lineata_1990","Nectandra lineata",1990,6,2,0
"1196","Nectandra lineata_1995","Nectandra lineata",1995,7,2,1
"1197","Nectandra lineata_2000","Nectandra lineata",2000,7,0,0
"1198","Nectandra lineata_2005","Nectandra lineata",2005,6,1,2
"1199","Nectandra lineata_2010","Nectandra lineata",2010,6,2,2
"1200","Nectandra lineata_2015","Nectandra lineata",2015,10,4,0
"1201","Nectandra purpurea_1982","Nectandra purpurea",1982,8,8,0
"1202","Nectandra purpurea_1985","Nectandra purpurea",1985,6,1,3
"1203","Nectandra purpurea_1990","Nectandra purpurea",1990,6,2,2
"1204","Nectandra purpurea_1995","Nectandra purpurea",1995,6,2,2
"1205","Nectandra purpurea_2000","Nectandra purpurea",2000,8,4,2
"1206","Nectandra purpurea_2005","Nectandra purpurea",2005,9,4,3
"1207","Nectandra purpurea_2010","Nectandra purpurea",2010,6,2,5
"1208","Nectandra purpurea_2015","Nectandra purpurea",2015,6,1,1
"1209","Neea amplifolia_1982","Neea amplifolia",1982,61,61,0
"1210","Neea amplifolia_1985","Neea amplifolia",1985,75,26,12
"1211","Neea amplifolia_1990","Neea amplifolia",1990,76,19,18
"1212","Neea amplifolia_1995","Neea amplifolia",1995,72,12,16
"1213","Neea amplifolia_2000","Neea amplifolia",2000,68,10,14
"1214","Neea amplifolia_2005","Neea amplifolia",2005,74,11,5
"1215","Neea amplifolia_2010","Neea amplifolia",2010,65,11,20
"1216","Neea amplifolia_2015","Neea amplifolia",2015,54,10,21
"1217","Ochroma pyramidale_1982","Ochroma pyramidale",1982,1,1,0
"1218","Ochroma pyramidale_1985","Ochroma pyramidale",1985,3,2,0
"1219","Ochroma pyramidale_1990","Ochroma pyramidale",1990,5,2,0
"1220","Ochroma pyramidale_1995","Ochroma pyramidale",1995,5,0,0
"1221","Ochroma pyramidale_2000","Ochroma pyramidale",2000,2,0,3
"1222","Ochroma pyramidale_2005","Ochroma pyramidale",2005,7,5,0
"1223","Ochroma pyramidale_2010","Ochroma pyramidale",2010,9,3,1
"1224","Ochroma pyramidale_2015","Ochroma pyramidale",2015,5,1,5
"1225","Ocotea cernua_1982","Ocotea cernua",1982,86,86,0
"1226","Ocotea cernua_1985","Ocotea cernua",1985,95,14,5
"1227","Ocotea cernua_1990","Ocotea cernua",1990,93,20,22
"1228","Ocotea cernua_1995","Ocotea cernua",1995,84,11,20
"1229","Ocotea cernua_2000","Ocotea cernua",2000,74,5,15
"1230","Ocotea cernua_2005","Ocotea cernua",2005,75,10,9
"1231","Ocotea cernua_2010","Ocotea cernua",2010,91,19,3
"1232","Ocotea cernua_2015","Ocotea cernua",2015,105,22,8
"1233","Ocotea oblonga_1982","Ocotea oblonga",1982,14,14,0
"1234","Ocotea oblonga_1985","Ocotea oblonga",1985,15,5,4
"1235","Ocotea oblonga_1990","Ocotea oblonga",1990,8,1,8
"1236","Ocotea oblonga_1995","Ocotea oblonga",1995,8,2,2
"1237","Ocotea oblonga_2000","Ocotea oblonga",2000,10,4,2
"1238","Ocotea oblonga_2005","Ocotea oblonga",2005,16,8,2
"1239","Ocotea oblonga_2010","Ocotea oblonga",2010,21,7,2
"1240","Ocotea oblonga_2015","Ocotea oblonga",2015,20,4,5
"1241","Ocotea puberula_1982","Ocotea puberula",1982,1,1,0
"1242","Ocotea puberula_1985","Ocotea puberula",1985,2,1,0
"1243","Ocotea puberula_1990","Ocotea puberula",1990,4,2,0
"1244","Ocotea puberula_1995","Ocotea puberula",1995,4,1,1
"1245","Ocotea puberula_2000","Ocotea puberula",2000,5,1,0
"1246","Ocotea puberula_2005","Ocotea puberula",2005,9,5,1
"1247","Ocotea puberula_2010","Ocotea puberula",2010,9,0,0
"1248","Ocotea puberula_2015","Ocotea puberula",2015,8,0,1
"1249","Ocotea whitei_1982","Ocotea whitei",1982,67,67,0
"1250","Ocotea whitei_1985","Ocotea whitei",1985,68,8,7
"1251","Ocotea whitei_1990","Ocotea whitei",1990,64,6,10
"1252","Ocotea whitei_1995","Ocotea whitei",1995,71,8,1
"1253","Ocotea whitei_2000","Ocotea whitei",2000,66,7,12
"1254","Ocotea whitei_2005","Ocotea whitei",2005,67,13,12
"1255","Ocotea whitei_2010","Ocotea whitei",2010,70,11,8
"1256","Ocotea whitei_2015","Ocotea whitei",2015,82,16,4
"1257","Oenocarpus mapora_1982","Oenocarpus mapora",1982,1383,1383,0
"1258","Oenocarpus mapora_1985","Oenocarpus mapora",1985,1396,79,66
"1259","Oenocarpus mapora_1990","Oenocarpus mapora",1990,1447,110,59
"1260","Oenocarpus mapora_1995","Oenocarpus mapora",1995,1500,102,49
"1261","Oenocarpus mapora_2000","Oenocarpus mapora",2000,1497,62,65
"1262","Oenocarpus mapora_2005","Oenocarpus mapora",2005,1488,70,79
"1263","Oenocarpus mapora_2010","Oenocarpus mapora",2010,1480,79,87
"1264","Oenocarpus mapora_2015","Oenocarpus mapora",2015,1445,94,129
"1265","Ormosia macrocalyx_1982","Ormosia macrocalyx",1982,3,3,0
"1266","Ormosia macrocalyx_1985","Ormosia macrocalyx",1985,3,0,0
"1267","Ormosia macrocalyx_1990","Ormosia macrocalyx",1990,3,0,0
"1268","Ormosia macrocalyx_1995","Ormosia macrocalyx",1995,2,0,1
"1269","Ormosia macrocalyx_2000","Ormosia macrocalyx",2000,2,0,0
"1270","Ormosia macrocalyx_2005","Ormosia macrocalyx",2005,2,0,0
"1271","Ormosia macrocalyx_2010","Ormosia macrocalyx",2010,2,0,0
"1272","Ormosia macrocalyx_2015","Ormosia macrocalyx",2015,2,0,0
"1273","Ouratea lucens_1982","Ouratea lucens",1982,185,185,0
"1274","Ouratea lucens_1985","Ouratea lucens",1985,206,34,13
"1275","Ouratea lucens_1990","Ouratea lucens",1990,204,25,27
"1276","Ouratea lucens_1995","Ouratea lucens",1995,204,17,17
"1277","Ouratea lucens_2000","Ouratea lucens",2000,201,17,20
"1278","Ouratea lucens_2005","Ouratea lucens",2005,203,25,23
"1279","Ouratea lucens_2010","Ouratea lucens",2010,200,18,21
"1280","Ouratea lucens_2015","Ouratea lucens",2015,204,36,32
"1281","Pachira quinata_1982","Pachira quinata",1982,1,1,0
"1282","Pachira quinata_1985","Pachira quinata",1985,0,0,1
"1283","Pachira quinata_1990","Pachira quinata",1990,0,0,0
"1284","Pachira quinata_1995","Pachira quinata",1995,0,0,0
"1285","Pachira quinata_2000","Pachira quinata",2000,0,0,0
"1286","Pachira quinata_2005","Pachira quinata",2005,0,0,0
"1287","Pachira quinata_2010","Pachira quinata",2010,0,0,0
"1288","Pachira quinata_2015","Pachira quinata",2015,0,0,0
"1289","Pachira sessilis_1982","Pachira sessilis",1982,3,3,0
"1290","Pachira sessilis_1985","Pachira sessilis",1985,3,0,0
"1291","Pachira sessilis_1990","Pachira sessilis",1990,2,0,1
"1292","Pachira sessilis_1995","Pachira sessilis",1995,2,0,0
"1293","Pachira sessilis_2000","Pachira sessilis",2000,2,0,0
"1294","Pachira sessilis_2005","Pachira sessilis",2005,2,0,0
"1295","Pachira sessilis_2010","Pachira sessilis",2010,2,0,0
"1296","Pachira sessilis_2015","Pachira sessilis",2015,3,1,0
"1297","Palicourea guianensis_1982","Palicourea guianensis",1982,356,356,0
"1298","Palicourea guianensis_1985","Palicourea guianensis",1985,664,430,122
"1299","Palicourea guianensis_1990","Palicourea guianensis",1990,1476,1142,330
"1300","Palicourea guianensis_1995","Palicourea guianensis",1995,1053,662,1085
"1301","Palicourea guianensis_2000","Palicourea guianensis",2000,866,633,820
"1302","Palicourea guianensis_2005","Palicourea guianensis",2005,851,651,666
"1303","Palicourea guianensis_2010","Palicourea guianensis",2010,1119,866,598
"1304","Palicourea guianensis_2015","Palicourea guianensis",2015,1321,1094,892
"1305","Pentagonia macrophylla_1982","Pentagonia macrophylla",1982,288,288,0
"1306","Pentagonia macrophylla_1985","Pentagonia macrophylla",1985,291,42,39
"1307","Pentagonia macrophylla_1990","Pentagonia macrophylla",1990,295,43,39
"1308","Pentagonia macrophylla_1995","Pentagonia macrophylla",1995,266,13,42
"1309","Pentagonia macrophylla_2000","Pentagonia macrophylla",2000,232,14,48
